Trip Purpose,Mean Distance (mi),Trips per Capita
Home,6.7522193644049935,1.307474768726907
Meal,4.516846568073577,0.25961532890990985
Other,6.104182040620691,0.5659331508362666
Shopping,6.017696974898041,0.5146866666602796
SocRec,8.488242620099086,0.4309831169023723
Work,8.336484433863236,0.7423054407620373
