modename,All Trips,Work Trips
Bike,0.012529619821739965,
Bus,0.05149910998698023,0.021223742423232553
Car,0.8374605424602286,0.8928186616615632
Other,0.004908042333380068,0.009092775137383468
Rental Car,0.0004692093525279096,0.0017932664657118536
Ridehail,0.0009592536517161556,
Walk,0.09217422239342718,0.07507155431210889
