Hour,Other,Shopping,Meal,SocRec,Home,Work
0,0.3884127428314241,0.07221223728739351,0.0,0.6298627873134476,22.344491980695807,0.7684764267964699
1,0.0,0.0,0.0,0.0,0.1621498511385785,0.0
2,0.0,0.0,0.0,0.0,0.0764696451410238,0.0
3,0.0,0.0,0.0,0.0,0.03485440424621612,0.0
4,0.0,0.0,0.0,0.016590551786444745,0.0,0.052681376096610825
5,0.07243152134257186,0.026479082559182465,0.0,0.09047391403531002,0.03638404910355891,0.2314613228411947
6,0.2880688501670923,0.07180057500592711,0.09292144366854237,0.27061704099700556,0.19887440342825302,0.7859869387169109
7,1.0622420126619685,0.21185623747356658,0.15692405340124632,0.34306169872194914,0.5456757467169195,3.3189016632978143
8,1.3643181408014777,0.3506950213155271,0.32576889106163703,0.582926465010922,0.8023793415493671,4.392862606947675
9,1.2444654609464445,0.6629621154790337,0.22177198136190568,0.5831182215222919,0.6134981101747362,2.7244142813935546
10,1.1094973628763816,1.2376816643438782,0.2491229147995312,0.722941106607942,1.1823365270681505,1.0316457311913731
11,0.9793287084830171,1.538196629822105,0.3856819841692414,0.5765514801332441,1.3947713759909934,0.6369466971188427
12,0.828982557781706,1.0533258418814573,1.034408651870984,0.5894193073580064,1.515056303816455,0.9755987810749434
13,0.9847849797383665,1.279173520028491,0.8718642319233071,0.8367333342144008,1.6248450820627331,1.12532861759113
14,1.1305718010597334,1.1266752864463363,0.3549279842376441,0.5520110299886103,2.25932060332606,0.9532161441704641
15,1.004136853014796,1.1731992114473573,0.3909686386434099,0.8017481344277106,3.06981023155365,0.5695579266577411
16,1.0129974826903227,1.1010149225339694,0.32845221496512156,0.6652367228349875,2.9030241838374686,0.43874566943802384
17,1.138158507652669,1.081125543648289,0.4473505620219831,0.8711707928585546,3.6794353429406854,0.23226476535889007
18,0.5524285611122391,0.7114911570973025,0.6276213066238767,1.1116395517160003,3.5185946240192507,0.1141601239606994
19,0.3108889278875,0.27865678753493395,0.35804960374072414,0.9207479670872256,2.5906958938676135,0.08148023391210775
20,0.16444057413426538,0.24346707277275115,0.26944632595696405,0.3875882554960621,1.8904072513487837,0.02071719817372953
21,0.12035774387183279,0.08551503246806835,0.07059839251324179,0.18621363911693672,1.4529169527899908,0.0
22,0.16794388890758372,0.09416758798712802,0.0,0.1507598842229056,1.0844320003847285,0.06873504889184426
23,0.019861945157109474,0.018237870816611483,0.016014233316597078,0.06785571453763208,0.5755267898402596,0.026635813060720152
24,0.0,0.0,0.0,0.0,0.0,0.0
