modename,All Trips,Work Trips
Bike,0.013933366394006736,0.010785703786604248
Bus,0.047620750170665145,0.020594891704391213
Car,0.8350705463450111,0.8812609837066828
Other,0.004765045588840902,0.007772080959349951
Rail,0.0005583213265430068,0.0014681426280104342
Rental Car,0.0049966382227828125,0.0038925964408869813
Ridehail,0.00340140190635345,0.006845147903021941
Walk,0.08965393004579668,0.06738045287105245
