Hour,Home,SocRec,Work,Meal,Shopping,Other
0,0.0009721959928899038,0.00374061987314876,0.004740357866625211,3.0248136163074498e-05,3.2487174323195496e-05,0.0010108995789113724
1,9.664826938157381e-05,0.0013291918339027452,0.0011795639480663828,0.0,0.00022152031450661358,0.004278917877059777
2,0.0,0.0008480818817667784,0.002072977256868828,0.0,0.0,8.558813246660228e-05
3,0.0,3.53322575765962e-05,0.0002629581045240865,0.0,1.2106557677560719e-05,0.0
4,0.00946785768493594,0.0006753238091684758,0.0012460523612293078,2.770830254909974e-05,4.604346840824463e-05,4.597437049047024e-05
5,0.031118244394659805,0.0005626759427303241,0.0019350555096993927,0.0005997259417283316,0.0013464875802155847,0.0038160686591767637
6,0.09333414408493294,0.007314819237609805,0.001967877413018525,0.003387635910144094,0.002493224117401225,0.007681178287737572
7,0.2321730118021723,0.00852006619809378,0.013370834884463773,0.0044940426819610945,0.006522520277017496,0.035528431201910786
8,0.2003527049228419,0.018549925243178274,0.015395251295736795,0.013314354157624974,0.007449759075240708,0.0462077465058424
9,0.11854083782463484,0.01598459055226502,0.012059708393122094,0.009093998542215008,0.02167406698716249,0.03684303215519675
10,0.09896865264500508,0.021139421585278425,0.01191597708809223,0.010050948950432794,0.04246840463247217,0.0359134411617908
11,0.07270545228853822,0.0267155408863597,0.024851488954679455,0.010824285479027904,0.056023778964021734,0.046487683355145
12,0.05640152262741199,0.022743234339031092,0.05546474893807236,0.02965338160059318,0.05328667228747179,0.040832481352920995
13,0.0701343165317337,0.02519979292092036,0.05427885723532898,0.04080246091589286,0.0470470856738715,0.04047089974753885
14,0.057654966753918735,0.025147483691083793,0.07754214859756316,0.022911444618450558,0.04811159791164443,0.050523520964630954
15,0.06225315898297056,0.03334397765959666,0.09533582407158588,0.014941225056306429,0.04846003097752241,0.053914307525064285
16,0.06268393663087676,0.026593012227006354,0.09552943836520286,0.012052869097434514,0.05459809075259857,0.038060329930886434
17,0.062981487218385,0.03074057241799882,0.13169972950279574,0.012605797450105335,0.04052506322440122,0.05484960896605892
18,0.053013568127822014,0.03429014717427846,0.058740412172892394,0.017003764504333493,0.031882754849260626,0.026423243240709524
19,0.03671183772978758,0.02891667504625644,0.03132626133108109,0.012306259721478542,0.015924540423531506,0.015137089842127522
20,0.020969106379449237,0.032999142505357064,0.013674922220912317,0.019301534362498568,0.012218308932883027,0.010952388837309276
21,0.0070081734339472014,0.021259613522421467,0.012960297047764614,0.012626163074289702,0.006859260488625243,0.007829862665203947
22,0.010706351663581064,0.023904547656743904,0.007467643595952074,0.002527359937349051,0.005363997635890168,0.007316756895350922
23,0.0015746497541046687,0.0033173702485688374,0.0032355794608677642,0.0016549587274491426,0.001313217743562469,0.000749884256038847
24,0.8721704374848462,0.043101996471621724,0.04525726752106027,0.00946191062284937,0.013565721966385827,0.01644266593324315
