Hour,Other,Shopping,Meal,SocRec,Home,Work
0,0.319397875366121,0.07597038243062433,0.022224612182843367,0.5602857430452723,22.347778715108163,0.8220712597715816
1,0.0,0.0,0.0,0.0,0.10110655769018602,0.0
2,0.0,0.0,0.0,0.0,0.06049312644422557,0.0
3,0.0,0.0,0.0,0.0,0.040042205709401826,0.0
4,0.024650401880913657,0.0,0.0,0.024040623636905206,0.02728829049755166,0.13416620905690807
5,0.09296434069699712,0.03747011723078159,0.0373425978511431,0.11900690972807376,0.06703633071824712,0.5210862492720069
6,0.44465968406174516,0.09778919064691773,0.08974881881658234,0.1778501471290312,0.2705860783349815,1.4649917101835237
7,1.7244693105497246,0.2577725455518917,0.21055608239848972,0.28090665611563226,0.6748529659586907,4.552158481942248
8,1.453091288161949,0.48268336240472914,0.2558184066703103,0.4484755560225579,0.8612410692001784,3.8530050002155276
9,1.0621244115952346,0.9070395977436005,0.21716970369728242,0.5889283914428856,0.7937156202002368,1.6458170677034314
10,1.0592665875825928,1.3411784664213118,0.23394208175539555,0.619848009139951,1.0511677725752413,0.7623698124010876
11,1.0007533306540306,1.3850163321528606,0.6266971966836873,0.6058657762523778,1.361117728916688,0.5842033323205298
12,0.935642216096667,1.1905112991756188,0.9813148622547252,0.6088156896900773,1.6371713610153682,0.9301551927875588
13,0.9638483047914417,1.1814352002456148,0.5036871845407982,0.584951827588404,1.5438666176496603,1.0144856600286567
14,1.3459823964782904,1.1869907475027588,0.3490961265960824,0.5181686435586315,2.14442367155851,0.6503284707880419
15,1.5861031610558323,1.1740038963999564,0.3048257564160096,0.6900337479617729,3.757167745986915,0.5497272702223281
16,1.2556472681799142,1.144178818538329,0.36506004940157705,0.8402533451583485,3.8278320212634522,0.43287162088320685
17,1.1521210129298058,1.0278224359476902,0.5874425267634518,1.057849908956487,4.135035135499566,0.3240020646020248
18,0.5599681415593958,0.7173807152080961,0.5731777246945675,1.1273101949861133,3.0029328373637045,0.17800364927722984
19,0.2978154124457388,0.4239865773516934,0.3226676736871458,0.6252025544704427,2.176338308451141,0.06968146176555012
20,0.18764223632507815,0.2461964286595818,0.20388014172151775,0.2705624956175708,1.8114214131701574,0.04617039940908567
21,0.11313003467291277,0.10494599529927637,0.10786613848920004,0.12485595436095556,1.276552230445008,0.04670592215767916
22,0.07033367719903927,0.044952821291742585,0.0259583702331692,0.0753870514835365,0.7280843484315054,0.05669381344989945
23,0.02398132901733779,0.01581656206078548,0.0,0.037746475106282984,0.44191169738611047,0.025641513636948138
24,0.0,0.0,0.0,0.0,0.0,0.0
