modename,All Trips,Work Trips
Bike,0.021088090085234146,0.023233929003045207
Bus,0.040755858142269744,0.05391442697028977
Car,0.6809041091620482,0.632111927391733
Other,0.004881011976794843,0.005648680075212842
Rail,0.04228487419556222,0.10643699233692405
Rental Car,0.002885885066088832,0.0016757251046949234
Ridehail,0.011439823087517051,0.009712825152460592
Walk,0.1957603482844847,0.1672654939656396
