Hour,Home,Shopping,Work,Meal,SocRec,Other
0,0.0005979744028482272,6.230316620148766e-05,0.005261413177204493,0.0,0.0034622766300962038,0.0
1,0.0,0.0,0.0022591207569261683,0.000864061368090595,0.0004813647909538619,0.0006543774769552991
2,0.0,0.0,0.0002994656849524968,0.0,0.0,0.0002994656849524968
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.010152447146295186,0.00032594373062348444,0.0002663686051822269,0.00022007552916050144,0.0,0.0
5,0.034697110438236665,0.0008421546093208695,0.002906865754694786,0.0007055734599248286,0.0021547920691559106,0.0009209167684283763
6,0.13471227768159919,0.005337689100653987,0.005039383680111641,0.001766424165806706,0.005034174951414562,0.011155673563797628
7,0.2773848729170519,0.0032519752602143508,0.006500164512266712,0.00840832826052362,0.010337700822360713,0.06511576928300354
8,0.17656012641159782,0.019720922210261248,0.0090174102325755,0.015258015448541565,0.01567890063193665,0.04988937933143282
9,0.0990515157764604,0.018899902252364566,0.014148347371744793,0.01187798760632857,0.018057034209047643,0.02326446835629043
10,0.07798593669642016,0.023366741462664663,0.016776471172858808,0.013537303002024883,0.020998702072078795,0.0334943798142969
11,0.07185242060484072,0.04265913492225669,0.051269920033727275,0.013709811460946597,0.018480338031986232,0.03754200029644838
12,0.05797285325319618,0.04519712943577007,0.05962748148437751,0.04916242403958559,0.02905858838804453,0.03656931125113205
13,0.04866693231048853,0.05075292949835596,0.030993427173015557,0.04671018289543815,0.016528388356472773,0.02754707148681722
14,0.047607464743027364,0.03108457310332529,0.07244844021935141,0.01867356323724739,0.016118796426748374,0.03506398680583076
15,0.05319133928627875,0.031055128668906026,0.11066203312330535,0.013692775485761494,0.0161680274640118,0.0519194068302268
16,0.07820362028122105,0.04414670169288919,0.15183447858625063,0.017775227506315477,0.026091372943258192,0.05775998241252189
17,0.07307784041816907,0.04515310931797123,0.1410076526819521,0.013309395578997006,0.03409853022640082,0.0623681923065573
18,0.0675156941752051,0.029719569273047364,0.0576562734299572,0.021963800838237985,0.035430530184859955,0.03764372061007207
19,0.03693333409277665,0.02264655729726415,0.023417983287640158,0.028035505497114928,0.027999563074638124,0.013932691093492796
20,0.025287983378259764,0.0121836161980846,0.01152315603064024,0.0195565442846798,0.02640708239099997,0.013655264673450181
21,0.00914447794232457,0.0076991952779173175,0.01297368539873516,0.006619232870242234,0.019355567873061863,0.004490992674839028
22,0.004689050124430011,0.002357891554551481,0.007948433462227187,0.0068968796377149215,0.011404210027795398,0.0033849948679283864
23,0.0015176357130014205,0.0006278151033974856,0.014448832524647223,0.0006214400544960909,0.006196584581477052,0.00223268170658286
24,0.8756445108074592,0.006823464003689963,0.042267868417912614,0.009816546931650934,0.04809074062796847,0.01735686921131836
