modename,All Trips,Work Trips
Bike,0.009649939811370061,0.01187409354969632
Bus,0.06316616113411459,0.0560607805984118
Car,0.5360453600753393,0.510643881888368
Other,0.007152338476720576,0.005278185195128717
Rail,0.10152745380819433,0.19660367284906355
Rental Car,0.0028728026023920037,0.0018742169026334343
Ridehail,0.018039452686678947,0.03774807538176917
Walk,0.2615464914051902,0.17991709363492914
