Hour,Home,SocRec,Work,Shopping,Other,Meal
0,0.00016303810587409165,0.003512849465987101,0.00344779383277334,0.0002371414457471319,0.0007074700648581648,0.00038176774787826754
1,0.0001286370281207143,0.003364958189076402,0.001961697643108196,0.00012863702812071433,0.0009443078824550738,0.0005704449276701923
2,0.0,0.0010722086350176464,0.0003521915080338276,0.0,0.0,0.0
3,0.0,0.0,0.00045972180021073997,0.0,0.0,0.0
4,0.01768976228007195,8.687321703438694e-05,0.002434415653036141,0.0,0.0001725711764308706,0.0
5,0.03909774319995253,0.0030702663856744003,0.0020088283872379863,0.0008547959272430931,0.0007889815265801267,0.0011398748680959841
6,0.08993713835166647,0.005857500131541362,0.0024215829112657476,0.0024693371793571527,0.008870797060884972,0.001944104288501235
7,0.24838779667498256,0.010201482189443549,0.013169336965823387,0.0071801411128526215,0.06330044375073617,0.007863358213988205
8,0.2230735477714766,0.016872317993233202,0.00941682123165806,0.007431844843530822,0.0943017657964337,0.007510247263372766
9,0.1019735547785227,0.016207428752156857,0.010262519270479928,0.024466983709802825,0.03732570041976584,0.011608914020299031
10,0.08037453633211405,0.025131812303411834,0.01212582803273854,0.025962993986572105,0.039890986134500546,0.00598499377323747
11,0.07618960831578765,0.02943807204079135,0.03206057772828046,0.03807660615313082,0.040701929094813065,0.014038286949093605
12,0.0544746153263313,0.021688089995205464,0.07902568872887566,0.045987929049523465,0.03399969696387508,0.036813838604117875
13,0.06610111749064995,0.02780052692473541,0.03622444419387373,0.03047038674541002,0.05045919843337208,0.03894546644070581
14,0.06735158448960214,0.026390437295384518,0.06733859381967114,0.04716211450333359,0.06547438911076882,0.02041180174083496
15,0.06030562797291735,0.02482680225282879,0.12303757388689408,0.03968753488642868,0.08214692386505912,0.007140879403878096
16,0.07373106837213318,0.031000057783623153,0.10153281847689799,0.052256277224034926,0.05347226073865658,0.011474251736796092
17,0.06574372992602857,0.041901882196225426,0.1206132651138389,0.03868584604832197,0.07579016441978227,0.012264200324488222
18,0.04715672034611483,0.026888184785724082,0.06817562562216284,0.02340440993895601,0.04188103943812176,0.019001973953166808
19,0.03923160375781596,0.0350668018022559,0.03181743847631826,0.02048867136298268,0.02422654873905038,0.016670955061329717
20,0.020805186658847303,0.022356070732830607,0.014469714634620417,0.010411143204608283,0.01597109359411581,0.025071894477568607
21,0.005388149449570873,0.02370563695707344,0.012507546739000687,0.00830539965209673,0.010987243739238607,0.011268494724861196
22,0.006898252014510701,0.00852178132935375,0.005600428074742569,0.0013959473242664007,0.0034089986389697195,0.0039322007120858775
23,0.0018508551611071081,0.006978519888115902,0.0029186416704277455,0.0,0.002286374869473239,8.501025108080327e-05
24,0.8569927371748444,0.05067438908720468,0.05334591035784293,0.007613584458686014,0.01894997824261572,0.012423400678804675
