Hour,Home,SocRec,Work,Other,Shopping,Meal
0,0.0004185794120447293,0.0023281545050588496,0.003475448294193727,0.0006279132101228038,0.0003596171992429201,0.0005818999759939813
1,0.00020071915577675578,0.0012792309411172372,0.002034436656260184,0.0006207179972107985,0.0003686123331805229,0.0003727781664909728
2,0.00011172115488685417,0.0005751482790829844,0.0014526612779577877,0.0002354736509360244,0.00016231502885875464,6.0271309849802214e-05
3,0.0002941478946860811,0.00011450203195721092,0.0007152080414325634,0.00015484585333210374,5.868296485227598e-05,2.7952911982200176e-05
4,0.01449987285111849,0.0006921502018272036,0.0012428502686486487,0.001134409725079178,0.00031176401383612096,0.0004584551366120987
5,0.04569705465738241,0.001607579614568142,0.0025373670099743365,0.0027616423313971124,0.001546524255333842,0.0013201180956233845
6,0.12369463044525524,0.007123691711450987,0.005757846519799225,0.013374346724255906,0.003792232460339692,0.0031101953879335707
7,0.2605743002938071,0.009467427291886604,0.013994047695902564,0.05950790420964298,0.008144621022881349,0.007040653703167235
8,0.16955523827422414,0.011850153326321704,0.012782616883694494,0.05259934846719234,0.013835801469092652,0.009344762787009684
9,0.10144214693817263,0.015159481459796276,0.01361609453063782,0.03419253264525406,0.028877127925197362,0.008685507728811432
10,0.08032609317208096,0.020244875722766877,0.01614522027301123,0.03869670882407876,0.04534380816456697,0.009033966640955614
11,0.0677855411326609,0.023247125409550165,0.03648641735071178,0.045710744029200695,0.05528302603777466,0.013059853673496368
12,0.06008993682716485,0.023007719466301323,0.0492570035518071,0.04261058621786012,0.05238769527292517,0.03523702458296494
13,0.05918803124931792,0.022347821584672623,0.03606126819714347,0.03915907061911051,0.04909560143065502,0.03251939842847821
14,0.06272299511757376,0.02108927424871681,0.07832379104046504,0.053567189382608106,0.049531754151433,0.018056562157758804
15,0.060462199599909,0.023322052487567992,0.12954532939116276,0.07166618756979301,0.04932944803062724,0.014792502545764334
16,0.06622974886759629,0.026042307601140537,0.11317074066197264,0.059919345383279574,0.052827794269807105,0.012314023431176085
17,0.07589447656200428,0.030922750661204285,0.11749632198246397,0.05593979509819612,0.04483569194099492,0.015272723297044813
18,0.06458998625326376,0.028509813624582287,0.04136628864088083,0.026205632581017383,0.031099351665965037,0.016885269714732323
19,0.030799424696210498,0.032726434551603616,0.02055776329085367,0.01668052011017927,0.022214990274593012,0.016547139541079902
20,0.01700246040368783,0.034456057876265225,0.01346751486279779,0.011546960571961029,0.013742979047018515,0.014805680114415735
21,0.008130547557361234,0.020399229578275047,0.010552120941937068,0.006985648571946142,0.008123580964590387,0.008247732900130958
22,0.005629069473106275,0.011775129527836771,0.008363507474935312,0.003545166857287194,0.002719985799352081,0.0037467837639730993
23,0.0019832576598448047,0.0037266736947401424,0.005632852242891847,0.0016837322642983502,0.0008988706890428042,0.0012110898368630915
24,0.8784763140831489,0.044518759601369993,0.04398435233190625,0.014584063593711304,0.009094670920156407,0.009341839469691101
